Розділ,Заголовок,Дата,Посилання,Опис
Новини,Публікації,Дата не вказана,https://www.pravda.com.ua/articles/,"Естафета – одна з найцікавіших та найбільш непередбачуваних дисциплін в біатлоні, та й в інших циклічних видах спорту також. Влада створює військового мобільного оператора – захищену мережу, яка забез..."
Новини,Офіс омбудсмана просить Раду прибрати заборону на поховання військових із судимістю на НВМК,Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021416/,"Офіс військового омбудсмана звернувся до парламентського комітету з питань соціальної політики та захисту прав ветеранів із пропозицією прибрати з законодавства норму, яка забороняє ховати на Націонал..."
Новини,"В Орбана знайшли лазівку, щоб загальмувати ухвалення 20-го пакету санкцій ЄС проти Росії – Politico",Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021421/,"Видання Politico з посиланням на власні джерел написало, що через позицію Угорщини щодо російських спортивних посадовців ухвалення чергових санкцій ЄС може затягнутися. Джерело : ""Європейська правда"" ..."
Новини,"Переломи, травми, розтрощені авто киян: комунальники 9 районів столиці отримали підозри",Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021414/,"П рокурори повідомили про підозру дев'ятьом посадовцям комунальних підприємств столиці за фактами неналежної роботи, внаслідок чого тисячі киян протягом зими зазнали ч ислених травм та витратили десят..."
Новини,"Фото, аудіо ""Визволяв"" із ТЦК під приводом слідчих дій: судитимуть правоохоронця з Миколаївщини",Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021412/,"ДБР завершило розслідування щодо правоохоронця з Миколаївської області, який за гроші допомагав військовозобов'язаним уникати мобілізації. Обвинувальний акт скеровано до суду. Джерело : сайт Державног..."
Новини,Колишнього міністра Нагірного Карабаху Варданяна засудили до 20 років в'язниці,Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021413/,"Військовий суд у Баку засудив колишнього державного міністра самопроголошеної Нагірно-Карабаської республіки та мільярдера Рубена Варданяна до 20 років ув'язнення, повідомляють місцеві ЗМІ. Джерело : ..."
Новини,"Відео, фото Росія вбила дроном трьох працівників Слов'янської ТЕС",Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021407/,"Російські окупаційні війська 17 лютого вдарили дроном по автомобілю, в якому перебували працівники Слов'янської теплоелектростанції, що на Донеччині. Внаслідок атаки троє енергетиків загинули. Джерело..."
Новини,"відео ССО дронами FP-2 уразили місце зберігання ""Іскандерів"" в Криму",Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021404/,"Підрозділи Сил спеціальних операцій ЗСУ дронами уразили місце зберігання оперативно-тактичного комплексу ""Іскандер"" у Криму та пункт дистанційного пілотування підрозділу ""Рубікон"" у Запорізькій област..."
Новини,Росія почне повністю блокувати Telegram з 1 квітня – Baza,Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021405/,"Telegram-каналу ""База"" повідомив, що в Росії почнуть повністю блокувати цю соцмережу з 1 квітня. ""Роскомнадзор"" це не підтверджує, але й не спростовує. Джерело: Baza, "" Коммерсантъ"" Деталі: Telegram-к..."
Новини,"На КПП Польщі з Україною у мандрівника виявили гранату, людей евакуювали",Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021400/,"На пункті пропуску в Долгобичові на кордоні Польщі з Україною прикордонники виявили у одного з пасажирів гранату, після чого з будівлі КПП евакуювали 19 людей. Джерело: ""Європейська правда"" з посиланн..."
