,title,href,about
0,"Аналітик бізнес-процесів відділу розвитку дистанційних сервісів (Клієнт-Банк, IFOBS), вакансія від 12 січня 2026",https://www.work.ua/jobs/7042432/,"Повна зайнятість. Досвід роботи від 1 року.
                            Банк «Південний» — один із лідерів фінансового ринку України, який займає третє місце у групі українських банків із приватним капіталом за розміром активів. Вже 30 років «Південний» є надійним фінансовим партнером…"
1,"Marketplace Strategy Analyst, вакансія від 12 січня 2026",https://www.work.ua/jobs/7548253/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Привіт, якщо ти зараз читаєш цю вакансію це означає що ти вже на пів шляху до роботи твоєї мрії #клаааасссс.Ми не зупиняємось, а лише набираємо обороти тому давай бути #намберван та скоріш знайомся з нашою вакансією…"
2,"Marketplace Strategy Analyst, вакансія від 12 січня 2026",https://www.work.ua/jobs/7548718/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Привіт, якщо ти зараз читаєш цю вакансію це означає що ти вже на пів шляху до роботи твоєї мрії #клаааасссс.Ми не зупиняємось, а лише набираємо обороти тому давай бути #намберван та скоріш знайомся з нашою вакансією…"
3,"Marketplace Strategy Analyst, вакансія від 12 січня 2026",https://www.work.ua/jobs/7548730/,"Повна зайнятість. Досвід роботи від 2 років.
                            Привіт, якщо ти зараз читаєш цю вакансію це означає що ти вже на пів шляху до роботи твоєї мрії #клаааасссс.Ми не зупиняємось, а лише набираємо обороти тому давай бути #намберван та скоріш знайомся з нашою вакансією…"
4,"Фінансовий аналітик, фінансова аналітикиня, вакансія від 12 січня 2026",https://www.work.ua/jobs/7450504/,"Повна зайнятість. Досвід роботи від 5 років. Вища освіта.
                            Ми — телекомунікаційна група на чолі з lifecell. Ми забезпечуємо мобільний і фіксований зв’язок, інтернет, телебачення та цифрові сервіси для мільйонів користувачів по всій Україні. Під час війни ми дбаємо про те,…"
5,"Аналітик, вакансія від 12 січня 2026",https://www.work.ua/jobs/7529737/,"Повна зайнятість. Досвід роботи від 1 року.
                            SoBeauty — мережа клінік лазерної епіляції та косметології, що активно масштабується в Україні та Польщі. Ми приймаємо рішення на основі цифр, тому шукаємо аналітика, який системно працює з даними та звітами. Вимоги:…"
6,"Бізнес-асистент керівника напрямку, аналітик даних, вакансія від 9 січня 2026",https://www.work.ua/jobs/7521088/,"Повна зайнятість. Досвід роботи від 1 року.
                            VARTIS — один із найбільших постачальників металу в Україні. Понад 20 років на ринку, лідер у сфері постачання металопрокату. Маємо власне виробництво та 55+ металоцентрів по всій країні. Ми цінуємо наполегливість…"
7,"Фінансовий аналітик, вакансія від 8 січня 2026",https://www.work.ua/jobs/7563331/,"Повна зайнятість. Досвід роботи від 1 року.
                            NovaPay — міжнародний фінансовий сервіс, що входить до ГК NOVA.  Ми створюємо сучасні платіжні рішення для бізнесу та мільйонів користувачів. Розвиваємо власну платіжну систему, мобільний застосунок та пропонуємо…"
8,"Senior Marketing Analyst, вакансія від 8 січня 2026",https://www.work.ua/jobs/7562827/,"Повна зайнятість. Також готові взяти студента, людину з інвалідністю. Досвід роботи від 1 року.
                            Ми — мережа сімейних розважальних центрів Crazy Land! Наша мета — зробити кожного гостя щасливіше! Долучайтесь до нашої команди та даруйте емоції разом з нами! Запрошуємо в свою команду! Senior Marketing Analyst…"
9,"Фінансовий аналітик, вакансія від 14 січня 2026",https://www.work.ua/jobs/7346266/,"Повна зайнятість. Досвід роботи від 2 років.
                            Kasta — це інноваційна мультикатегорійна e-commerce платформа в Україні. Уже 14 років ми відкриваємо українцям найкращі міжнародні та локальні бренди, доводячи, що онлайн-шопінг може бути простим, швидким і вигідним…"
10,"Аналітик-планувальник виробництва, вакансія від 14 січня 2026",https://www.work.ua/jobs/6392434/,"Повна зайнятість. Досвід роботи від 2 років.
                            VYRIY — українська інженерна компанія, провідний виробник бойових безпілотних комплексів, активно впроваджує системи роботизації війни та рішення з локалізованих комплектуючих. Ми ростемо, розширюємо команду та шукаємо…"
11,"Аналітик із закупівель, вакансія від 13 січня 2026",https://www.work.ua/jobs/5174526/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            «NORMA APEX» — команда однодумців, яка вже понад 23 роки займає лідируючі позиції на ринку дверної фурнітури та замочно-скобяної продукції в Україні. Головний акцент ми робимо на якості товару та європейському сервісі…"
12,"Аналітик даних, вакансія від 13 січня 2026",https://www.work.ua/jobs/6970654/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            ДТЕК Дніпровські Електромережі — провідна енергетична компанія України, яка розподіляє електроенергію на території Дніпропетровської області та обслуговує понад 1,3 млн клієнтів. Співробітники Компанії щоденно забезпечують…"
13,"ІТ-аналітик (інтернет-банкінг TAS2U), вакансія від 15 січня 2026",https://www.work.ua/jobs/7555000/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            ТАСКОМБАНК — це надійний універсальний комерційний банк з українським капіталом! ТАСКОМБАНК — це 36 років успішного бізнесу в Україні. Робота в ТАСКОМБАНКу — це виклик, стрімке професійне зростання, зосередженість…"
